id,writer
24257,[]
34444,[]
26141,[]
10997,"[b'Lillian Lee Pik-Wah', b'Lu Wei']"
50463,[]
10443,[b'Rafael Yglesias']
20239,[]
16297,[b'William Mastrosimone']
18551,[]
25440,[b'Hugh Leonard']
9024,"[b'Lawrence Konner', b'Mark Rosenthal']"
37233,"[b'David Rabe', b'Robert Towne', b'David Rayfiel']"
1634,[b'Corey Blechman']
13815,[b'Boaz Yakin']
5503,"[b'Jeb Stuart', b'David Twohy']"
35588,"[b'John Milius', b'Larry Gross']"
2087,"[b'Walter Hill', b'Amy Holden Jones']"
41579,[]
18620,[]
41006,[]
4916,[]
2019,[b'Chuck Pfarrer']
31642,[b'Oliver Stone']
9255,"[b'Jim Abrahams', b'Pat Proft']"
26271,[]
10612,[b'Christopher Monger']
2259,[b'Bille August']
16097,[b'Takashi Bufford']
11934,"[b'Joel Coen', b'Ethan Coen', b'Sam Raimi']"
106143,[]
12475,"[b'Daniel Petrie, Jr.', b'Ken Kaufman', b'Stu Krieger', b'Fax Bahr', b'Adam Small']"
9386,[]
7984,"[b'Terry George', b'Jim Sheridan']"
59930,[]
15765,[b'Kate Lanier']
31643,[]
6,[b'Lewis Colick']
329,"[b'Michael Crichton', b'David Koepp']"
10909,"[b'Stephen Levy', b'Tim Metcalfe']"
507,[]
34024,[b'Steven Soderbergh']
29918,[]
9593,"[b'Shane Black', b'David Arnott']"
42580,[]
22317,[]
1413,[b'David Henry Hwang']
12121,"[b'Marcia Brandwynne', b'Nadine Schiff', b'Holly Goldberg Sloan']"
2246,"[b'Aaron Sorkin', b'Scott Frank']"
10502,[b'Malcolm MacRury']
10440,"[b'Woody Allen', b'Marshall Brickman']"
9516,[b'Tyger Williams']
2320,[]
5879,[b'Nagisa \xc5\x8cshima']
83718,[b'Tom Noonan']
11971,[b'Kenneth Branagh']
2625,"[b'Eric Roth', b'Michael Cristofer']"
31911,[]
788,"[b'Randi Mayem Singer', b'Leslie Dixon']"
21450,[]
11231,[b'Mark Lee']
41588,[]
10447,"[b'Michael Gaylin', b'Joel Gross']"
31586,"[b'Alan Zweibel', b'Andrew Scheinman']"
9300,[b'Sally Potter']
9559,[b'John Lee Hancock']
9800,[]
713,[b'Jane Campion']
8291,[b'John Singleton']
18133,[]
25557,"[b'Ted Elliott', b'Terry Rossio', b'David S. Goyer']"
22588,"[b'Willard Huyck', b'Gloria Katz', b'Ron Osborn', b'Jeff Reno']"
10872,"[b'Richard LaGravenese', b'Marie Weiss']"
1245,[b'Ruth Prawer Jhabvala']
11858,[b'Jim Burnstein']
7007,"[b'Philip Kaufman', b'Michael Crichton', b'Michael Backes']"
10467,[b'Alan Parker']
5550,"[b'Frank Miller', b'Fred Dekker']"
8005,"[b'Mel Brooks', b'J.D. Shapiro', b'Evan Chandler']"
2088,[b'Hilary Henkin']
10412,[b'Geoffrey Wright']
47889,[]
14534,[]
56583,[]
41878,[]
424,[b'Steven Zaillian']
35233,[]
14291,[b'Steven Zaillian']
103413,[b'David Cook']
11236,[b'Caroline Thompson']
11592,[]
8850,[b'David Koepp']
10445,[b'William Nicholson']
695,"[b'Robert Altman', b'Frank Barhydt']"
43535,[]
12519,[b'John Duigan']
23210,[]
858,"[b'Nora Ephron', b'David S. Ward', b'Jeff Arch']"
867,[b'Joe Eszterhas']
78,"[b'Hampton Fancher', b'David Webb Peoples']"
13203,[]
10442,[b'Robbie Fox']
11074,"[b'Rowdy Herrington', b'Marty Kaplan']"
33367,[b'Arthur Joff\xc3\xa9']
9607,"[b'Parker Bennett', b'Terry Runte', b'Ed Solomon']"
17585,[]
9057,[b'David Twohy']
20967,[]
10635,[b'Andrew Fleming']
9479,[b'Caroline Thompson']
10057,[b'David Loughery']
11969,[b'Kevin Jarre']
41590,"[b'Jordan Katz', b'Heywood Gould']"
319,"[b'Quentin Tarantino', b'Roger Avary']"
26408,[]
15139,[b'Ernie Contreras']
161158,[]
218473,[]
85247,[b'Gordon Melbourne']
11446,[b'Todd Solondz']
51980,"[b'Claude Berri', b'\xc3\x89mile Zola', b'Arlette Langmann']"
